month,TigacellID,prob_l95,prob_median,prob_u95,sd
10,-4.35_42.6,0,0.012,0.147,0.0453849552549674
10,-4.3_36.7,0.024,0.123,0.418,0.103431133573282
10,-4.3_36.85,0,0.012,0.186,0.0534588015403879
10,-4.3_37.1,0,0.013,0.191,0.0554975049216095
10,-4.3_39.85,0,0.012,0.195,0.0568318731659855
10,-4.3_40.35,0,0.012,0.181,0.0535311101220723
10,-4.3_40.5,0,0.012,0.165,0.0481960980953011
10,-4.3_40.6,0,0.012,0.194,0.0581581837019356
10,-4.3_41.6,0,0.012,0.16,0.0504925486432573
10,-4.3_43.2,0,0.011,0.16,0.046192954555975
10,-4.3_43.35,0,0.012,0.191024999999998,0.0548337171998486
10,-4.45_36.65,0.002,0.027,0.163024999999998,0.0440777175467706
10,-4.45_36.7,0.053,0.258,0.637,0.154171377523384
10,-4.45_36.75,0,0.01,0.109,0.032887354447116
10,-4.45_36.85,0,0.011,0.141,0.0437991723870009
10,-4.45_36.95,0,0.012,0.174,0.050767925717262
10,-4.45_37.25,0,0.012,0.186,0.0597197085108626
10,-4.45_37.45,0,0.011,0.161024999999998,0.0502288239345544
10,-4.45_40.35,0,0.012,0.157,0.0486426830306938
10,-4.45_43.35,0,0.012,0.143,0.0437842893273238
10,-4.4_36.7,0.012,0.072,0.308,0.0775410464434459
10,-4.4_36.85,0,0.012,0.178,0.0540201835164403
10,-4.4_37,0,0.011,0.159,0.0480123000560358
10,-4.4_37.25,0,0.01,0.106,0.0314747163641521
10,-4.4_37.5,0,0.012,0.167,0.0497134932310515
10,-4.4_38,0,0.011,0.146,0.0450676317097235
10,-4.4_39.85,0,0.011,0.133024999999998,0.0424452252145331
10,-4.4_40,0,0.011,0.129,0.039266023898502
10,-4.4_40.25,0,0.012,0.152,0.0488754934592822
10,-4.4_40.35,0,0.01,0.122,0.0367129465780125
10,-4.4_40.75,0,0.012,0.167,0.0488637506959937
10,-4.4_43.35,0,0.011,0.136,0.0423127193117916
10,-4.55_36.55,0.008,0.053,0.245,0.0656025671061023
10,-4.55_36.6,0.034,0.196,0.541,0.135157614674638
10,-4.55_36.65,0.004,0.045,0.229,0.0608655665539845
10,-4.55_36.7,0,0.009,0.084,0.0247014300904023
10,-4.55_36.75,0,0.01,0.099,0.0287479226326123
10,-4.55_36.95,0,0.012,0.179024999999998,0.0567422164379327
10,-4.55_37,0,0.011,0.16,0.0506694361762901
10,-4.55_37.35,0,0.011,0.138,0.0438343930911286
10,-4.55_42,0,0.012,0.149,0.0446743313444439
10,-4.55_43.35,0,0.012,0.166,0.0502910558491438
10,-4.5_36.6,0.006,0.049,0.235,0.0620114257422323
10,-4.5_36.65,0.004,0.046,0.218,0.0577696372095325
10,-4.5_36.7,0.008,0.0765,0.306,0.0784604194193667
10,-4.5_36.75,0,0.012,0.157,0.0493432199533454
10,-4.5_36.8,0,0.012,0.162,0.0501455772557423
10,-4.5_37.2,0,0.011,0.136,0.0448412380504545
10,-4.5_37.25,0,0.011,0.153,0.0463003970730782
10,-4.5_37.3,0,0.012,0.144,0.0427705853730839
10,-4.5_37.45,0,0.012,0.189,0.057022701390906
10,-4.5_37.55,0,0.012,0.181,0.0621131054795883
10,-4.5_41.9,0,0.012,0.179,0.0548567857493158
10,-4.5_42.85,0,0.013,0.187,0.0547956089128928
10,-4.5_43.35,0,0.012,0.196,0.0605728069269579
10,-4.65_36.5,0.002,0.026,0.15,0.0401249302754497
10,-4.65_36.55,0.022,0.17,0.512024999999998,0.130682319395962
10,-4.65_36.6,0,0.012,0.165,0.0483343718968237
10,-4.65_36.7,0,0.011,0.134,0.0391826678412322
10,-4.65_36.9,0,0.011,0.16,0.0469816236114308
10,-4.65_37,0,0.012,0.206024999999998,0.0635187861539432
10,-4.65_37.05,0,0.012,0.195,0.063503978622803
10,-4.65_37.5,0,0.011,0.15,0.0437210192806974
10,-4.65_37.55,0,0.012,0.169024999999998,0.0523909169166941
10,-4.65_40.1,0,0.013,0.217,0.0630799838984684
10,-4.65_40.25,0,0.011,0.155,0.0449791816165089
10,-4.65_40.9,0,0.011,0.147,0.0430551796353367
10,-4.65_42.1,0,0.012,0.155,0.0457000349512709
